Name;IdName;FolderName;Type;ViewMode;RWin;DataOrg;bReciprocal;bSigned;bDelta;bPercent;bOriginal;bOriginalValues;Columns;Rows;Radix;Comment;Precision;SkipBytes;LineSkipBytes;Fieldvalues.Name;Fieldvalues.Unit;Fieldvalues.Factor;Fieldvalues.Offset;Fieldvalues.StartAddr;AxisX.Name;AxisX.IdName;AxisX.Unit;AxisX.Factor;AxisX.Offset;AxisX.Radix;AxisX.bBackwards;AxisX.bReciprocal;AxisX.bSigned;AxisX.Precision;AxisX.DataSrc;AxisX.DataHeader;AxisX.DataAddr;AxisX.DataOrg;AxisX.SignatureByte;AxisX.SkipBytes;AxisY.Name;AxisY.IdName;AxisY.Unit;AxisY.Factor;AxisY.Offset;AxisY.Radix;AxisY.bBackwards;AxisY.bReciprocal;AxisY.bSigned;AxisY.Precision;AxisY.DataSrc;AxisY.DataHeader;AxisY.DataAddr;AxisY.DataOrg;AxisY.SignatureByte;AxisY.SkipBytes
Spark advance at Wide Open Throttle;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;236;16;8;10;;1;0;0;-;°;0.75;-66;$7818;RPM;;rpm;25;0;10;0;0;0;-1;eRom;0;$4C4B;eByte;0x-1;0;Load;;%;0.3921;0;10;0;0;0;-1;eRom;0;$4B9B;eByte;0x-1;0
Spark advance at Wide Open Throttle;;My maps;eZweidim;eViewText;eRightWinNone;eByte;0;0;0;0;0;236;16;8;10;;1;0;0;-;°;0.75;-66;$7898;RPM;;rpm;25;0;10;0;0;0;-1;eRom;0;$4C4B;eByte;0x-1;0;Load;;%;0.3921;0;10;0;0;0;-1;eRom;0;$4B9B;eByte;0x-1;0
Injection;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;236;16;16;10;;1;0;0;-;%;0.78125;-100;$6AB0;RPM;;rpm;25;0;10;0;0;0;-1;eRom;0;$4C4B;eByte;0x-1;0;Load;;%;0.3921;0;10;0;0;0;-1;eRom;0;$4BB3;eByte;0x-1;0
Injection;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;236;16;16;10;;1;0;0;-;%;0.78125;-100;$68B0;RPM;;rpm;25;0;10;0;0;0;-1;eRom;0;$4C4B;eByte;0x-1;0;Load;;%;0.3921;0;10;0;0;0;-1;eRom;0;$4BB3;eByte;0x-1;0
Injection;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;236;16;16;10;;1;0;0;-;%;0.78125;-100;$69B0;RPM;;rpm;25;0;10;0;0;0;-1;eRom;0;$4C4B;eByte;0x-1;0;Load;;%;0.3921;0;10;0;0;0;-1;eRom;0;$4BB3;eByte;0x-1;0
Injection;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;236;16;16;10;;1;0;0;-;%;0.78125;-100;$328B0;RPM;;rpm;25;0;10;0;0;0;-1;eRom;0;$30C4B;eByte;0x-1;0;Load;;%;0.3921;0;10;0;0;0;-1;eRom;0;$30BB3;eByte;0x-1;0
Injection;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;236;16;16;10;;1;0;0;-;%;0.78125;-100;$329B0;RPM;;rpm;25;0;10;0;0;0;-1;eRom;0;$30C4B;eByte;0x-1;0;Load;;%;0.3921;0;10;0;0;0;-1;eRom;0;$30BB3;eByte;0x-1;0
Injection;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;236;16;16;10;;1;0;0;-;%;0.78125;-100;$32AB0;RPM;;rpm;25;0;10;0;0;0;-1;eRom;0;$30C4B;eByte;0x-1;0;Load;;%;0.3921;0;10;0;0;0;-1;eRom;0;$30BB3;eByte;0x-1;0
Spark advance at middle throttle;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;236;16;16;10;;1;0;0;-;°;0.75;-66;$33718;RPM;;rpm;25;0;10;0;0;0;-1;eRom;0;$30C4B;eByte;0x-1;0;Load;;%;0.3921;0;10;0;0;0;-1;eRom;0;$30BB3;eByte;0x-1;0
Spark advance at Wide Open Throttle;;My maps;eZweidim;eViewText;eRightWinNone;eByte;0;0;0;0;0;236;16;8;10;;-1;0;0;-;°;0.75;-66;$33818;RPM;;rpm;25;0;10;0;0;0;-1;eRom;0;$30C4B;eByte;0x-1;0;Load;;%;0.3921;0;10;0;0;0;-1;eRom;0;$30B9B;eByte;0x-1;0
Spark advance at middle throttle;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;236;16;16;10;;1;0;0;-;°;0.75;-66;$7718;RPM;;rpm;25;0;10;0;0;0;-1;eRom;0;$4C4B;eByte;0x-1;0;Load;;%;0.3921;0;10;0;0;0;-1;eRom;0;$4BB3;eByte;0x-1;0
Spark advance at middle throttle;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;236;16;16;10;;1;0;0;-;°;0.75;-66;$7618;RPM;;rpm;25;0;10;0;0;0;-1;eRom;0;$4C4B;eByte;0x-1;0;Load;;%;0.3921;0;10;0;0;0;-1;eRom;0;$4BB3;eByte;0x-1;0
Rev Limiter;;My maps;eEindim;eViewText;eBars;eLoHi;0;0;0;0;0;0;6;1;10;;-1;0;0;-;rpm;1;0;$406E;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0
Rev Limiter;;My maps;eEindim;eViewText;eBars;eLoHi;0;0;0;0;0;236;6;1;10;;-1;0;0;-;rpm;1;0;$3006E;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0
Spark advance at middle throttle;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;236;16;16;10;;1;0;0;-;-;0.75;-66;$33618;RPM;;rpm;25;0;10;0;0;0;-1;eRom;0;$30C4B;eByte;0x-1;0;Load;;%;0.3921;0;10;0;0;0;-1;eRom;0;$30BB3;eByte;0x-1;0
Spark advance at Wide Open Throttle;;My maps;eZweidim;eViewText;eRightWinNone;eByte;0;0;0;0;0;236;16;8;10;;-1;0;0;-;°;0.75;-66;$33898;RPM;;rpm;25;0;10;0;0;0;-1;eRom;0;$30C4B;eByte;0x-1;0;Load;;%;0.3921;0;10;0;0;0;-1;eRom;0;$30B9B;eByte;0x-1;0
Torque Limiter (Forces 5700rpm limiter without ABS);;My maps;eZweidim;eViewText;eBars;eLoHi;0;0;0;0;0;236;8;4;10;;-1;0;0;-;-;1;0;$30832;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0
Torque Limiter (Forces 5700rpm limiter without ABS);;My maps;eZweidim;eViewText;eBars;eLoHi;0;0;0;0;0;0;8;4;10;;-1;0;0;-;-;1;0;$4832;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0
Boost Bypass Valve position;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;236;16;16;10;;-1;0;0;-;%;0.3922;0;$5F18;Throttle Position;;%;0.3921;0;10;0;0;0;-1;eRom;0;$4CEB;eByte;0x-1;0;RPM;;rpm;25;0;10;0;0;0;-1;eRom;0;$4C4B;eByte;0x-1;0
Boost Bypass Valve position;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;236;16;16;10;;-1;0;0;-;%;0.3922;0;$31F18;Throttle Position;;%;0.3921;0;10;0;0;0;-1;eRom;0;$30CEB;eByte;0x-1;0;RPM;;rpm;25;0;10;0;0;0;-1;eRom;0;$30C4B;eByte;0x-1;0
Secondary Air Bypass Command;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;1;16;16;10;;-1;0;0;-;-;1;0;$31D10;Load;;%;0.3921;0;10;0;0;0;-1;eRom;0;$30BB3;eByte;0x-1;0;RPM;;rpm;25;0;10;0;0;0;-1;eRom;0;$30C4B;eByte;0x-1;0
Secondary Air Bypass Command;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;1;16;16;10;;-1;0;0;-;-;1;0;$5D10;Load;;%;0.3921;0;10;0;0;0;-1;eRom;0;$4BB3;eByte;0x-1;0;RPM;;rpm;25;0;10;0;0;0;-1;eRom;0;$4C4B;eByte;0x-1;0
======= MAP 2 ======= ;;My maps;eEinzel;eViewText;eBars;eByte;0;0;0;0;0;236;1;1;10;;-1;0;0;-;-;1;0;$30000;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
======= MAP 1 ======= ;;My maps;eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;-1;0;0;-;-;1;0;$3FFD;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
SW Version;;My maps;eEindim;eViewText;eHex;eByte;0;0;0;0;0;236;26;1;10;;-1;0;0;-;-;1;0;$E489;-;;-;1;0;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Launch Rev Limiter;;My maps;eEindim;eViewText;eBars;eLoHi;0;0;0;0;0;0;2;1;10;;-1;0;0;-;-;1;0;$4062;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0
Launch Rev Limiter;;My maps;eEindim;eViewText;eBars;eLoHi;0;0;0;0;0;236;2;1;10;;-1;0;0;-;-;1;0;$30062;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eLoHi;0x-1;0
# RPM;;My maps;eEindim;eViewText;eBars;eByte;0;0;0;0;0;0;16;1;10;;-1;0;0;-;-;25;0;$4C4B;-;;-;1;0;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
# RPM;;My maps;eEindim;eViewText;eBars;eByte;0;0;0;0;0;236;16;1;10;;-1;0;0;-;-;25;0;$30C4B;-;;-;1;0;10;0;0;1;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
