Name;IdName;FolderName;Type;ViewMode;RWin;DataOrg;bReciprocal;bSigned;bDelta;bPercent;bOriginal;bOriginalValues;Columns;Rows;Radix;Comment;Precision;SkipBytes;LineSkipBytes;Fieldvalues.Name;Fieldvalues.Unit;Fieldvalues.Factor;Fieldvalues.Offset;Fieldvalues.StartAddr;AxisX.Name;AxisX.IdName;AxisX.Unit;AxisX.Factor;AxisX.Offset;AxisX.Radix;AxisX.bBackwards;AxisX.bReciprocal;AxisX.bSigned;AxisX.Precision;AxisX.DataSrc;AxisX.DataHeader;AxisX.DataAddr;AxisX.DataOrg;AxisX.SignatureByte;AxisX.SkipBytes;AxisY.Name;AxisY.IdName;AxisY.Unit;AxisY.Factor;AxisY.Offset;AxisY.Radix;AxisY.bBackwards;AxisY.bReciprocal;AxisY.bSigned;AxisY.Precision;AxisY.DataSrc;AxisY.DataHeader;AxisY.DataAddr;AxisY.DataOrg;AxisY.SignatureByte;AxisY.SkipBytes
Rev Limiter;;My maps;eEindim;eViewText;eBars;eLoHi;0;0;0;0;0;0;3;1;10;;-1;0;0;-;rpm;1;0;16662;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;0;eLoHi;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;0;eLoHi;0x-1;0
Torque Limiter;;My maps;eZweidim;eViewText;eBars;eLoHi;0;0;0;0;0;0;8;4;10;;-1;0;0;-;-;1;0;18672;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;0;eLoHi;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;0;eLoHi;0x-1;0
MAF Limiter;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;-1;0;0;-;-;1;0;24446;-;;-;1;0;10;0;0;1;-1;eDataSrcNone;0;0;eByte;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;0;eByte;0x-1;0
Boost Bypass Valve position;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;-1;0;0;-;%;0.3922;0;24966;Load;;%;6.26;6;10;0;0;1;-1;eDataSrcNone;0;0;eByte;0x-1;0;RPM;;rpm;350;750;10;0;0;0;-1;eDataSrcNone;0;0;eByte;0x-1;0
Injection;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;-1;0;0;-;%;1;-128;27410;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;0;eByte;0x-1;0
Injection;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;-1;0;0;-;%;1;-128;27666;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;0;eByte;0x-1;0
Injection;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;-1;0;0;-;%;1;-128;27922;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;0;eByte;0x-1;0
Spark advance at middle throttle;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;1;0;0;-;°;0.75;-66;30682;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;0;eByte;0x-1;0
Spark advance at middle throttle;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;1;0;0;-;°;0.75;-66;30938;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;0;eByte;0x-1;0
Spark advance at Wide Open Throttle;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;8;10;;1;0;0;-;°;0.75;-66;31194;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;0;eByte;0x-1;0;Load;;%;12.43;13;10;0;0;0;-1;eDataSrcNone;0;0;eByte;0x-1;0
Spark advance at Wide Open Throttle;;My maps;eZweidim;eViewText;eRightWinNone;eByte;0;0;0;0;0;0;16;8;10;;1;0;0;-;°;0.75;-66;31322;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;0;eByte;0x-1;0;Load;;%;12.43;13;10;0;0;0;-1;eDataSrcNone;0;0;eByte;0x-1;0
Rev Limiter;;My maps;eEindim;eViewText;eBars;eLoHi;0;0;0;0;0;0;3;1;10;;-1;0;0;-;rpm;1;0;196886;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;0;eLoHi;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;0;eLoHi;0x-1;0
Torque Limiter;;My maps;eZweidim;eViewText;eBars;eLoHi;0;0;0;0;0;0;8;4;10;;-1;0;0;-;-;1;0;198896;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;0;eLoHi;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;0;eLoHi;0x-1;0
MAF Limiter;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;-1;0;0;-;-;1;0;204670;-;;-;1;0;10;0;0;1;-1;eDataSrcNone;0;0;eByte;0x-1;0;-;;-;1;0;10;0;0;0;-1;eDataSrcNone;0;0;eByte;0x-1;0
Boost Bypass Valve position;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;-1;0;0;-;%;0.3922;0;205190;Load;;%;6.26;6;10;0;0;1;-1;eDataSrcNone;0;0;eByte;0x-1;0;RPM;;rpm;350;750;10;0;0;0;-1;eDataSrcNone;0;0;eByte;0x-1;0
Injection;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;-1;0;0;-;%;1;-128;207634;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;0;eByte;0x-1;0
Injection;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;-1;0;0;-;%;1;-128;207890;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;0;eByte;0x-1;0
Injection;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;-1;0;0;-;%;1;-128;208146;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;0;eByte;0x-1;0
Spark advance at middle throttle;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;1;0;0;-;-;0.75;-66;210906;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;0;eByte;0x-1;0
Spark advance at middle throttle;;My maps;eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;16;16;10;;1;0;0;-;°;0.75;-66;211162;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;0;eByte;0x-1;0;Load;;%;6.25;6;10;0;0;0;-1;eDataSrcNone;0;0;eByte;0x-1;0
Spark advance at Wide Open Throttle;;My maps;eZweidim;eViewText;eRightWinNone;eByte;0;0;0;0;0;0;16;8;10;;-1;0;0;-;°;0.75;-66;211418;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;0;eByte;0x-1;0;Load;;%;12.43;13;10;0;0;0;-1;eDataSrcNone;0;0;eByte;0x-1;0
Spark advance at Wide Open Throttle;;My maps;eZweidim;eViewText;eRightWinNone;eByte;0;0;0;0;0;0;16;8;10;;-1;0;0;-;°;0.75;-66;211546;RPM;;rpm;350;750;10;0;0;1;-1;eDataSrcNone;0;0;eByte;0x-1;0;Load;;%;12.43;13;10;0;0;0;-1;eDataSrcNone;0;0;eByte;0x-1;0
